hs2,sector,country,export_value,country_name
01,Live animals,AE,209419,AE
01,Live animals,AR,257926,AR
01,Live animals,AT,10400,AT
01,Live animals,BB,7957,BB
01,Live animals,BD,1200,BD
01,Live animals,BE,99196,Belgium
01,Live animals,BR,891433,Brazil
01,Live animals,CH,366021,Switzerland
01,Live animals,CO,93157,CO
01,Live animals,CR,851899,CR
01,Live animals,CZ,106082,CZ
01,Live animals,DE,4664727,Germany
01,Live animals,DO,201284,DO
01,Live animals,EC,539916,EC
01,Live animals,EG,832496,EG
01,Live animals,ES,233183,Spain
01,Live animals,FR,1221775,France
01,Live animals,GB,214501,United Kingdom
01,Live animals,GT,6120027,GT
01,Live animals,HK,18269,Hong Kong
01,Live animals,HN,451264,HN
01,Live animals,HU,269201,HU
01,Live animals,IE,20000,IE
01,Live animals,IT,204788,Italy
01,Live animals,JP,26914177,Japan
01,Live animals,KR,1638816,South Korea
01,Live animals,LU,77007,LU
01,Live animals,MA,17245,MA
01,Live animals,MX,4599013,Mexico
01,Live animals,NL,2568215,Netherlands
01,Live animals,PA,8539,PA
01,Live animals,PE,116412,PE
01,Live animals,PH,556202,PH
01,Live animals,PL,51021,PL
01,Live animals,PM,15033,PM
01,Live animals,QA,300,QA
01,Live animals,SA,102300,SA
01,Live animals,SI,97840,SI
01,Live animals,TH,377049,TH
01,Live animals,TT,668978,TT
01,Live animals,TW,662152,Taiwan
01,Live animals,UM,46065,UM
01,Live animals,US,3082682039,United States
01,Live animals,UY,6841,UY
01,Live animals,VN,1120832,VN
02,Meat and edible meat offal,AE,12195360,AE
02,Meat and edible meat offal,AG,172271,AG
02,Meat and edible meat offal,AI,27949,AI
02,Meat and edible meat offal,AL,1515293,AL
02,Meat and edible meat offal,AO,2324228,AO
02,Meat and edible meat offal,AR,576831,AR
02,Meat and edible meat offal,AU,37362401,Australia
02,Meat and edible meat offal,AW,122686,AW
02,Meat and edible meat offal,AZ,115432,AZ
02,Meat and edible meat offal,BB,7673927,BB
02,Meat and edible meat offal,BE,1178096,Belgium
02,Meat and edible meat offal,BH,1921478,BH
02,Meat and edible meat offal,BJ,3355384,BJ
02,Meat and edible meat offal,BQ,59005,BQ
02,Meat and edible meat offal,BR,1722162,Brazil
02,Meat and edible meat offal,BS,789914,BS
02,Meat and edible meat offal,BZ,91367,BZ
02,Meat and edible meat offal,CD,800895,CD
02,Meat and edible meat offal,CG,2347116,CG
02,Meat and edible meat offal,CH,829906,Switzerland
02,Meat and edible meat offal,CI,1310430,CI
02,Meat and edible meat offal,CK,53205,CK
02,Meat and edible meat offal,CL,9677398,CL
02,Meat and edible meat offal,CN,419532535,China
02,Meat and edible meat offal,CO,88772288,CO
02,Meat and edible meat offal,CR,2229508,CR
02,Meat and edible meat offal,CU,13300838,CU
02,Meat and edible meat offal,CW,1096297,CW
02,Meat and edible meat offal,CX,39054,CX
02,Meat and edible meat offal,DE,2349340,Germany
02,Meat and edible meat offal,DK,153037,DK
02,Meat and edible meat offal,DM,485460,DM
02,Meat and edible meat offal,DO,1541151,DO
02,Meat and edible meat offal,EG,2355277,EG
02,Meat and edible meat offal,ES,257542,Spain
02,Meat and edible meat offal,FR,708816,France
02,Meat and edible meat offal,GA,4889544,GA
02,Meat and edible meat offal,GB,100456,United Kingdom
02,Meat and edible meat offal,GD,1914471,GD
02,Meat and edible meat offal,GE,148846,GE
02,Meat and edible meat offal,GH,7298160,GH
02,Meat and edible meat offal,GL,5444,GL
02,Meat and edible meat offal,GM,329505,GM
02,Meat and edible meat offal,GN,6101898,GN
02,Meat and edible meat offal,GQ,2379301,GQ
02,Meat and edible meat offal,GT,1346731,GT
02,Meat and edible meat offal,GY,248497,GY
02,Meat and edible meat offal,HK,48727411,Hong Kong
02,Meat and edible meat offal,HN,8115197,HN
02,Meat and edible meat offal,HT,1417981,HT
02,Meat and edible meat offal,ID,3661,ID
02,Meat and edible meat offal,IE,63820,IE
02,Meat and edible meat offal,IN,38260,India
02,Meat and edible meat offal,IQ,126894,IQ
02,Meat and edible meat offal,IT,11256635,Italy
02,Meat and edible meat offal,JM,15048312,JM
02,Meat and edible meat offal,JO,141615,JO
02,Meat and edible meat offal,JP,1666937348,Japan
02,Meat and edible meat offal,KH,1257562,KH
02,Meat and edible meat offal,KN,416116,KN
02,Meat and edible meat offal,KR,495569351,South Korea
02,Meat and edible meat offal,KW,5844767,KW
02,Meat and edible meat offal,LB,48447,LB
02,Meat and edible meat offal,LC,1262382,LC
02,Meat and edible meat offal,LR,1024310,LR
02,Meat and edible meat offal,MK,7153222,MK
02,Meat and edible meat offal,MR,454317,MR
02,Meat and edible meat offal,MS,4870,MS
02,Meat and edible meat offal,MX,671728066,Mexico
02,Meat and edible meat offal,MY,35835412,MY
02,Meat and edible meat offal,MZ,864047,MZ
02,Meat and edible meat offal,NE,317162,NE
02,Meat and edible meat offal,NG,54254,NG
02,Meat and edible meat offal,NL,6785432,Netherlands
02,Meat and edible meat offal,NZ,30140143,NZ
02,Meat and edible meat offal,OM,494107,OM
02,Meat and edible meat offal,PA,13739413,PA
02,Meat and edible meat offal,PE,4499015,PE
02,Meat and edible meat offal,PF,1422019,PF
02,Meat and edible meat offal,PH,288670063,PH
02,Meat and edible meat offal,PM,2390185,PM
02,Meat and edible meat offal,QA,454723,QA
02,Meat and edible meat offal,RO,1937227,RO
02,Meat and edible meat offal,RS,125186,RS
02,Meat and edible meat offal,SA,11385617,SA
02,Meat and edible meat offal,SG,8001205,Singapore
02,Meat and edible meat offal,SL,69314,SL
02,Meat and edible meat offal,SR,2031466,SR
02,Meat and edible meat offal,SV,31611,SV
02,Meat and edible meat offal,SX,172903,SX
02,Meat and edible meat offal,TC,144124,TC
02,Meat and edible meat offal,TG,1303026,TG
02,Meat and edible meat offal,TJ,86035,TJ
02,Meat and edible meat offal,TT,18779329,TT
02,Meat and edible meat offal,TW,149363458,Taiwan
02,Meat and edible meat offal,TZ,153413,TZ
02,Meat and edible meat offal,UA,2707307,UA
02,Meat and edible meat offal,UM,1956799,UM
02,Meat and edible meat offal,US,4975781978,United States
02,Meat and edible meat offal,UY,528917,UY
02,Meat and edible meat offal,VC,1942140,VC
02,Meat and edible meat offal,VG,65784,VG
02,Meat and edible meat offal,VN,138205445,VN
02,Meat and edible meat offal,ZA,622982,ZA
02,Meat and edible meat offal,ZM,378373,ZM
03,Fish and seafood,AE,6420805,AE
03,Fish and seafood,AG,840024,AG
03,Fish and seafood,AI,99571,AI
03,Fish and seafood,AL,113408,AL
03,Fish and seafood,AM,73148,AM
03,Fish and seafood,AT,357076,AT
03,Fish and seafood,AU,6042458,Australia
03,Fish and seafood,AW,7242,AW
03,Fish and seafood,BB,246383,BB
03,Fish and seafood,BE,49466404,Belgium
03,Fish and seafood,BG,5015003,BG
03,Fish and seafood,BH,16500,BH
03,Fish and seafood,BJ,59602,BJ
03,Fish and seafood,BM,217152,BM
03,Fish and seafood,BQ,27734,BQ
03,Fish and seafood,BR,3067184,Brazil
03,Fish and seafood,BY,444969,BY
03,Fish and seafood,CH,1570202,Switzerland
03,Fish and seafood,CI,483031,CI
03,Fish and seafood,CL,335530,CL
03,Fish and seafood,CM,33866,CM
03,Fish and seafood,CN,1147326466,China
03,Fish and seafood,CO,15584,CO
03,Fish and seafood,CU,601708,CU
03,Fish and seafood,CW,54335,CW
03,Fish and seafood,DE,12470952,Germany
03,Fish and seafood,DK,42073743,DK
03,Fish and seafood,DM,617248,DM
03,Fish and seafood,DO,41621724,DO
03,Fish and seafood,EC,225233,EC
03,Fish and seafood,EE,1954144,EE
03,Fish and seafood,EG,5880,EG
03,Fish and seafood,ES,63399357,Spain
03,Fish and seafood,FI,3492010,FI
03,Fish and seafood,FR,65404561,France
03,Fish and seafood,GB,65392165,United Kingdom
03,Fish and seafood,GD,434088,GD
03,Fish and seafood,GE,1334984,GE
03,Fish and seafood,GH,199319,GH
03,Fish and seafood,GQ,351982,GQ
03,Fish and seafood,GR,1689578,GR
03,Fish and seafood,GU,257329,GU
03,Fish and seafood,HK,122542506,Hong Kong
03,Fish and seafood,HR,113728,HR
03,Fish and seafood,HT,6679416,HT
03,Fish and seafood,ID,26245978,ID
03,Fish and seafood,IE,59183,IE
03,Fish and seafood,IL,2723249,IL
03,Fish and seafood,IN,854861,India
03,Fish and seafood,IS,6560167,IS
03,Fish and seafood,IT,23189587,Italy
03,Fish and seafood,JM,765395,JM
03,Fish and seafood,JO,219321,JO
03,Fish and seafood,JP,205349409,Japan
03,Fish and seafood,KN,440735,KN
03,Fish and seafood,KR,121561200,South Korea
03,Fish and seafood,KW,5700,KW
03,Fish and seafood,KZ,112101,KZ
03,Fish and seafood,LB,75411,LB
03,Fish and seafood,LC,1184495,LC
03,Fish and seafood,LR,358623,LR
03,Fish and seafood,LT,8200459,LT
03,Fish and seafood,LV,561534,LV
03,Fish and seafood,MA,12040676,MA
03,Fish and seafood,MD,84983,MD
03,Fish and seafood,MM,754698,MM
03,Fish and seafood,MO,277587,MO
03,Fish and seafood,MR,39714,MR
03,Fish and seafood,MS,21593,MS
03,Fish and seafood,MX,989705,Mexico
03,Fish and seafood,MY,1421973,MY
03,Fish and seafood,NG,406321,NG
03,Fish and seafood,NL,41428290,Netherlands
03,Fish and seafood,NO,1139959,NO
03,Fish and seafood,PA,21931,PA
03,Fish and seafood,PH,3111699,PH
03,Fish and seafood,PL,1815172,PL
03,Fish and seafood,PM,70197,PM
03,Fish and seafood,PT,6575185,PT
03,Fish and seafood,QA,552953,QA
03,Fish and seafood,RO,3550325,RO
03,Fish and seafood,RS,163101,RS
03,Fish and seafood,SA,578155,SA
03,Fish and seafood,SE,13226568,Sweden
03,Fish and seafood,SG,15012250,Singapore
03,Fish and seafood,SI,196985,SI
03,Fish and seafood,SK,62550,SK
03,Fish and seafood,SR,1067390,SR
03,Fish and seafood,SX,21213,SX
03,Fish and seafood,TC,136100,TC
03,Fish and seafood,TH,11381981,TH
