hs2,sector,export_value,import_value,trade_balance,total_trade,export_ratio,exposure_us,exposure_cn,exposure_mx,exposure_jp,exposure_de,exposure_gb,hhi_concentration,top_partner,top_partner_name,top_partner_share,risk_score,shocked_risk_score,risk_delta,affected_export_value
06,Live trees and plants,1088448347,716308758,372139589,1804757105,0.6030996322892439,0.99642916174466,3.417249892321027e-05,0.0,3.605591397342081e-05,1.2127355445258116e-06,1.990907518929874e-05,0.9928732746141049,US,United States,0.99642916174466,99.8928748523398,100.0,9.953617355338125,108456167.40035708
46,Straw and basketware,12273979,51166020,-38892041,63439999,0.19347381778058007,0.9955382850550514,0.0,0.0,0.0,0.0,0.00017541172464025524,0.9911024241705032,US,United States,0.9955382850550514,99.77687893912125,100.0,9.933170294719844,1221921.6004461716
14,Vegetable plaiting materials,4262293,22116761,-17854468,26379054,0.16157868430085914,0.991366620885373,0.0,0.0,0.0,0.0,0.0,0.9828365954647639,US,United States,0.991366620885373,99.23450966339209,100.0,9.837778052021406,422549.5008633379
01,Live animals,3140212197,908320621,2231891576,4048532818,0.7756420257390039,0.9816795313907,0.0,0.001464554848531927,0.008570814742118902,0.0014854814598105703,6.830780421037011e-05,0.9637779997473708,US,United States,0.9816795313907,97.97916291810225,100.0,9.618413873949564,308268203.8018321
51,Wool,25748916,84849749,-59100833,110598665,0.23281398348873394,0.9788005841177708,0.0010612873543380484,0.0,0.0,0.0007782851604982066,0.0029555029440655697,0.9581208565177588,US,United States,0.9788005841177708,97.60629143939371,100.0,9.553709507444808,2520305.402119942
78,Lead,445196610,28560946,416635664,473757556,0.9397140022823952,0.9769299950937856,0.00020357747062903854,8.200871052902063e-06,1.1455612810134351e-06,0.0002977830395029669,0.00011160462315379126,0.9547157456602237,US,United States,0.9769299950937856,97.37219549733842,100.0,9.512581846948606,43492592.202307
99,Special imports,23262643005,20288584207,2974058798,43551227212,0.5341443741924251,0.9762881740540948,0.00010266920226493545,0.0012961360836007837,0.0035667966438121075,0.013244252337128438,0.00016185005285207274,0.9533311416347497,US,United States,0.9762881740540948,97.2853397460532,100.0,9.49785267029067,2271104326.3023715
37,Photographic goods,25005666,102835123,-77829457,127840789,0.19560005847898781,0.9653817672609972,0.002238492578502305,0.00020407374056448884,5.8426755822990044e-05,0.0002970926550369562,0.0196153935825827,0.9323739041765808,US,United States,0.9653817672609972,95.88709790744568,100.0,9.256765603541822,2414001.4034618232
57,Carpets,69420473,822652175,-753231702,892072648,0.07781930437820204,0.9646245428978201,0.000128434732381689,0.0001865011754313288,0.00017396884959327706,0.008722700452895207,0.0023533547178027046,0.9307072997050441,US,United States,0.9646245428978201,95.78362664263744,100.0,9.239523706724967,6696469.203537546
79,Zinc,1511192703,164229022,1346963681,1675421725,0.9019775018722659,0.9644116254282816,0.0007951593445490854,0.0005723816676129215,0.0004958996943383866,2.5576486637140355e-05,2.3901650599816554e-05,0.9304371058157161,US,United States,0.9644116254282816,95.76052789977071,100.0,9.235256636368831,145741181.10355887
