YearMonth/AnnéeMois,HS2,Country/Pays,State/État,Value/Valeur
"202401","01","BE",,20600
"202401","01","BR",,403085
"202401","01","DE",,552365
"202401","01","EG",,486110
"202401","01","FR",,5356
"202401","01","GB",,10560
"202401","01","GT",,154836
"202401","01","HU",,5000
"202401","01","JP",,5164527
"202401","01","MX",,139633
"202401","01","NL",,151268
"202401","01","PH",,217223
"202401","01","TH",,362475
"202401","01","TT",,52278
"202401","01","US","AK",6176
"202401","01","US","AR",7580
"202401","01","US","AZ",241165
"202401","01","US","CA",1551313
"202401","01","US","CO",6055847
"202401","01","US","CT",24279
"202401","01","US","DE",6044
"202401","01","US","FL",1752934
"202401","01","US","GA",91758
"202401","01","US","HI",40409
"202401","01","US","IA",13043536
"202401","01","US","ID",1775617
"202401","01","US","IL",7869839
"202401","01","US","IN",1664187
"202401","01","US","KS",253152
"202401","01","US","KY",351203
"202401","01","US","LA",30759
"202401","01","US","MA",110025
"202401","01","US","MD",174295
"202401","01","US","ME",4162
"202401","01","US","MI",12238151
"202401","01","US","MN",10211703
"202401","01","US","MO",147986
"202401","01","US","MS",2948
"202401","01","US","MT",536227
"202401","01","US","NC",1723989
"202401","01","US","ND",1217330
"202401","01","US","NE",8336600
"202401","01","US","NH",58660
"202401","01","US","NJ",846335
"202401","01","US","NM",15743
"202401","01","US","NV",11725
"202401","01","US","NY",5249429
"202401","01","US","OH",9806246
"202401","01","US","OK",364756
"202401","01","US","OR",346098
"202401","01","US","PA",23658074
"202401","01","US","RI",4970
"202401","01","US","SC",509914
"202401","01","US","SD",5970075
"202401","01","US","TN",1842247
"202401","01","US","TX",211641
"202401","01","US","UT",48785142
"202401","01","US","VA",148817
"202401","01","US","VT",141640
"202401","01","US","WA",38795490
"202401","01","US","WI",4608357
"202401","01","US","WV",12486
"202401","01","US","WY",31012
"202401","01","UY",,6841
"202401","02","AE",,1898148
"202401","02","AO",,125344
"202401","02","AU",,5169789
"202401","02","AZ",,15501
"202401","02","BB",,474013
"202401","02","BE",,199494
"202401","02","BH",,110391
"202401","02","BJ",,259120
"202401","02","BS",,118118
"202401","02","CD",,36108
"202401","02","CG",,311332
"202401","02","CH",,103875
"202401","02","CI",,174202
"202401","02","CL",,487033
"202401","02","CN",,31483738
"202401","02","CO",,7381126
"202401","02","CU",,606288
"202401","02","DE",,51149
"202401","02","DK",,39642
"202401","02","DM",,177551
"202401","02","DO",,85745
"202401","02","EG",,242421
"202401","02","FR",,55975
"202401","02","GA",,921179
"202401","02","GD",,276158
"202401","02","GH",,787362
"202401","02","GN",,363482
"202401","02","GQ",,420719
"202401","02","GT",,120332
"202401","02","GY",,82469
"202401","02","HK",,2145985
"202401","02","HN",,784295
"202401","02","HT",,129493
"202401","02","IT",,1344334
"202401","02","JM",,433755
"202401","02","JP",,168414284
"202401","02","KR",,49873102
"202401","02","KW",,556263
"202401","02","LC",,156737
"202401","02","MK",,953347
"202401","02","MX",,61913989
"202401","02","MY",,3801772
"202401","02","MZ",,160060
"202401","02","NE",,43156
"202401","02","NL",,485917
"202401","02","NZ",,2445560
"202401","02","PA",,948972
"202401","02","PE",,317558
"202401","02","PF",,54400
"202401","02","PH",,19923516
"202401","02","PM",,152425
"202401","02","QA",,52172
"202401","02","RO",,304839
"202401","02","SA",,632074
"202401","02","SG",,372449
"202401","02","SL",,64118
"202401","02","SR",,121295
"202401","02","TC",,12776
"202401","02","TG",,74051
"202401","02","TT",,1762826
"202401","02","TW",,12365321
"202401","02","US","AL",512415
"202401","02","US","AR",4431240
"202401","02","US","AZ",1862225
"202401","02","US","CA",92982771
"202401","02","US","CO",12644057
"202401","02","US","CT",1881041
"202401","02","US","DE",4022909
"202401","02","US","FL",20759171
"202401","02","US","GA",5212777
"202401","02","US","HI",103604
"202401","02","US","IA",3812064
"202401","02","US","ID",1732534
"202401","02","US","IL",36616724
"202401","02","US","IN",3524276
"202401","02","US","KS",1224095
"202401","02","US","KY",2695924
"202401","02","US","LA",707119
"202401","02","US","MA",9395765
"202401","02","US","MD",4253667
"202401","02","US","MI",14861796
"202401","02","US","MN",2429314
"202401","02","US","MO",1310783
"202401","02","US","MT",184725
"202401","02","US","NC",13610463
"202401","02","US","NE",13691922
"202401","02","US","NH",7328060
"202401","02","US","NJ",29655725
"202401","02","US","NM",580662
"202401","02","US","NV",1982564
"202401","02","US","NY",51906939
"202401","02","US","OH",24973269
"202401","02","US","OK",3019173
"202401","02","US","OR",11633405
"202401","02","US","PA",19959614
"202401","02","US","PR",2637230
"202401","02","US","RI",1362076
"202401","02","US","SC",1047293
"202401","02","US","SD",651832
"202401","02","US","TN",976123
"202401","02","US","TX",41502184
"202401","02","US","UT",4717085
"202401","02","US","VA",5594411
"202401","02","US","VT",105993
"202401","02","US","WA",7201494
"202401","02","US","WI",5683948
"202401","02","VC",,148393
"202401","02","VN",,6918933
"202401","02","ZA",,105314
"202401","03","AE",,149237
"202401","03","AG",,107457
"202401","03","AT",,46677
"202401","03","AU",,614072
"202401","03","BB",,3305
"202401","03","BE",,1693608
"202401","03","BG",,343962
"202401","03","BQ",,6177
"202401","03","CI",,56385
"202401","03","CL",,181506
"202401","03","CN",,143111567
"202401","03","CU",,85464
"202401","03","DE",,226444
"202401","03","DK",,2308195
"202401","03","DO",,5289215
"202401","03","EG",,1960
"202401","03","ES",,1681229
"202401","03","FR",,1590162
"202401","03","GB",,3688512
"202401","03","GD",,95301
"202401","03","GE",,276396
"202401","03","GR",,15900
"202401","03","GU",,16421
"202401","03","HK",,11068355
"202401","03","HT",,933225
"202401","03","ID",,70238
"202401","03","IE",,32091
"202401","03","IL",,125018
"202401","03","IS",,1006875
"202401","03","IT",,349414
"202401","03","JP",,6362536
"202401","03","KN",,22500
"202401","03","KR",,7837205
"202401","03","LC",,125662
"202401","03","LR",,61268
"202401","03","LT",,328738
"202401","03","MA",,653156
"202401","03","MO",,20700
"202401","03","MX",,94818
"202401","03","MY",,65173
"202401","03","NL",,1965017
"202401","03","NO",,6898
"202401","03","PH",,53787
"202401","03","PL",,249053
"202401","03","PM",,2510
"202401","03","PT",,240569
"202401","03","QA",,90015
"202401","03","RO",,62775
"202401","03","SG",,833651
"202401","03","SR",,8277
"202401","03","TH",,672115
"202401","03","TJ",,70537
"202401","03","TR",,264338
"202401","03","TT",,320909
"202401","03","TW",,3063204
"202401","03","UA",,894292
"202401","03","US","AZ",1073162
"202401","03","US","CA",33441281
"202401","03","US","CO",652750
"202401","03","US","CT",377723
"202401","03","US","DC",22689
"202401","03","US","FL",5723258
"202401","03","US","GA",1468320
"202401","03","US","HI",51047
"202401","03","US","IA",79216
"202401","03","US","ID",68393
"202401","03","US","IL",5074162
"202401","03","US","IN",29096
"202401","03","US","KY",639546
"202401","03","US","MA",108895637
"202401","03","US","MD",2252974
"202401","03","US","ME",23074773
"202401","03","US","MI",4412268
"202401","03","US","MN",2175603
"202401","03","US","MO",6048
"202401","03","US","MT",190617
"202401","03","US","NC",1083222
"202401","03","US","ND",1097549
"202401","03","US","NE",586652
"202401","03","US","NH",5213991
"202401","03","US","NJ",8445767
"202401","03","US","NV",241113
"202401","03","US","NY",17678864
"202401","03","US","OH",920798
"202401","03","US","OR",1124796
"202401","03","US","PA",2008691
"202401","03","US","PR",130329
"202401","03","US","RI",2178204
"202401","03","US","SC",6068
"202401","03","US","TN",559070
"202401","03","US","TX",2373260
"202401","03","US","UT",23329
"202401","03","US","VA",193446
"202401","03","US","VT",3262
"202401","03","US","WA",11587491
"202401","03","US","WI",2220305
"202401","03","UZ",,7685
"202401","03","VC",,56899
"202401","03","VN",,3746530
"202401","03","ZA",,281925
"202401","04","AE",,2073339
"202401","04","BO",,29233
"202401","04","BR",,222318
"202401","04","CL",,416121
"202401","04","CN",,42631
"202401","04","CR",,25162
"202401","04","DO",,60681
"202401","04","DZ",,2695337
"202401","04","EG",,4685644
"202401","04","FR",,114511
"202401","04","GR",,988032
